sentence1,sentence2,label
"Почему Черное море так важно для России, если его доступ в Босфор контролируется Турцией?","Почему Босфор так важен для России, если доступ к нему контролируется Турцией в Черном море?",0
Бывшего следователя приговорили к штрафу за покушение на мошенничество.,У бывшего мэра Махачкалы обыскали детей.,0
"От сумы и от тюрьмы: история успеха ""небизнесмена"" С.Полонского.","Депутата объявили в розыск по делу о хищении 1,5 миллиардов рублей.",0
Почему инертные газы в природе газообразны?,Почему инертные газы в природе газообразны?,1
"Станция стала излюбленной целью японских бомбардировщиков во время Второй мировой войны. В 1943 году она была разрушена британскими войсками, переправлявшимися в Индию.","Станция стала излюбленной мишенью для британских бомбардировщиков в период Второй мировой войны. В 1943 году она была уничтожена японскими войсками, переместившимися к Индии.",0
Основной целью является повышение национального уровня коллоидной науки.,Основной целью является повышение национального уровня коллоидной науки.,1
"Шестой студийный альбом Kalmah вышел в Европе 24 февраля 2010 года, в Японии - 2 марта, в Северной Америке - 3 марта и в Канаде - 6 апреля.","Шестой студийный альбом вышел 24 февраля 2010 года в Европе, Японии - 2 марта, Северной Америке - 3 марта, Канаде - 6-го апреля.",0
"Провинцией с наименьшим уровнем преступности третий год подряд, в 2006 году, был Онтарио, где она составляла 5 689 на 100 000 жителей, за ним следовал Квебек - 5 909 на 100 000 жителей.","Провинцией с самым низким уровнем преступности третий год подряд в 2006 году был Квебек, где он составлял 5 689 на 100 000 жителей, за которым следует Онтарио - 5 909 на 100000 жителей.",0
Псалом 96 (библиографическая нумерация: Псалом 95) - один из псалмов греческой Книги Псалмов.,Псалом 96 (библиографическая нумерация: Псалом 95) - один из псалмов греческой Книги Псалмов.,1
Бывший глава Дальневосточной дирекции Минрегиона арестован.,Арестовали бывшего гендиректора Дальневосточной дирекции Минрегиона.,1
Могут ли инженеры-механики работать электроинженерами?,Могут ли инженеры-электрики работать в качестве инженеров-механиков?,0
"Самая высокая температура в Покхаре была зарегистрирована 4 мая 2013 года, а самая низкая температура в истории была зарегистрирована 13 января 2012 года.","Самая низкая температура, когда-либо зарегистрированная в Покхаре, была 4 мая 2013 года, в то время как самая высокая температура была зарегистрирована 13 января 2012 года.",0
"Я начну инженерную подготовку через несколько дней, но я хочу попробовать свои силы на экзаменах по IAS сейчас. Как я могу начать подготовку к IAS?","Я начну инженерную науку через несколько дней, но мне также хочется попробовать сдавать экзамен IAS. Как я могу начать подготовку IAS прямо сейчас?",1
Есть ли способ сделать мой iPhone доступным к мобильным данным для конкретных приложений при подключении к сети Wi-Fi? Возможно ли это?,Есть ли способ сделать мой iPhone доступным к конкретным данным для мобильных приложений при подключении к сети Wi-Fi? Возможно ли это?,1
"В 1958 году Брюс Алгер баллотировался на пост представителя США от 5-го округа Техаса, но проиграл на всеобщих выборах республиканцу Сандерсу.","В 1958 году Сандерс баллотировался на пост представителя США от 5-го округа Техаса, но проиграл на всеобщих выборах республиканцу Брюсу Алгеру.",0
Минфин не поддерживает идею создания ведомства по делам сирот.,В Госдуме предложили создать ведомство по делам сирот.,0
"Сможет ли кто-нибудь из современных футболистов забить 1000 голов в профессиональном футболе, как это сделал Пеле в своей карьере?","Может ли каждый профессиональный футбольная команда (футбольная) забить 1000 голов в современном футболе, как Пеле сделал в своей карьере?",0
"Со временем Лас-Вегас стал новой американской Gretna Green, хотя сотни людей в Элктоне по-прежнему женятся каждый год.","Со временем Элктон стал новой американской Gretna Green, хотя сотни людей до сих пор женятся в Лас-Вегасе каждый год.",0
"Его семья была американской и их ранним английским предком был Томас Блисс, который эмигрировал из Белстоуна в Новую Англию в 1635 году, в Детшире.","Его семья имела англиское происхождение, и их самым дорогим американским предком был Томас Блисс, эмигрировавший в 1635 году из Белстоуна, графство Дейшир в Новую Англию.",0
"В 1697 году был переизбран на выборный пост в Парламенте от вигов Айе и жил до 1713 года, когда был возвращен в Лимингтон.","В 1697 году его восстановили в должности вигов - члена парламента от Эйе и он заседал до 1713 года, когда он был переизбран на Лимингтон.",1
"Что происходит раз в минуту, два в один момент и ни разу за тысячу лет?","Что происходит раз в минуту, никогда в мгновение ока и два раза за тысячу лет?",0
"Курри родился в 1935 году в Мэнсфилде, графство Ноттингемшир, умер в 1990 году в возрасте 54 лет в Лонгбентоне, графство Нортамберленд.","Карри родился в Лонгбентоне, Нортумберленд, в 1935 году и умер в 1990 году в возрасте 54 лет в Мэнсфилде, Ноттингхамшир.",0
Защита Ходорковского продолжит добиваться отмены второго приговора.,"В Михаиле Ходорковском находят больше общественного, чем политического.",0
Правительство Непала: шансов найти под завалами выживших больше нет,Власти Непала исключили возможность найти выживших под завалами,1
"Вышли на связь россияне, поднимающиеся на Айленд Пик со стороны Непала",Пропавшие в горах Непала российские альпинисты вышли на связь,1
"""Мосгортранс"" впервые передал автобусный маршрут частной компании.",«Мосгортранс» впервые отдал автобусный маршрут частникам.,1
Прокурор потребовал условный срок для Евгении Васильевой,"Адвокаты рады за коллег, добившихся условного срока Васильевой",0
Следователя СК уволили за участие в драке хоккейных фанатов.,Уволенного за драку с полицией следователя проверит СК.,0
"Джанет Скотт родился Джеймс Александр Хансон, второй сын Джеймса Трикетта Хансона (датчанина-иммигранта) и Джима Марчбанка.","Родился Джеймс Александр Хансон, второй сын Джеймса Трикета Хансона (иммигранта из Дании) и Джанет Скотт.",0
"В 2001 году авиакомпания ""Сибирь"" объединилась с ""Энкор"".","В 2001 году авиакомпания ""Сибирь"" объединилась с ""Энкор"".",1
Как я могу подготовиться к предстоящему экзамену 10-го класса комиссии по экзаменам в ICSE?,Как я могу подготовиться к предстоящему экзамену 10-го класса в комиссии ICSE?,1
"Большой слой горных пород распространяется к северу от вулкана, а под Пасос-Бланкос смоделировано магнитное магнетитовое тело.","Большой слой горных пород простирается к северу от вулкана, а под Пасос Бланкос было смоделировано магнитное магнетитовое тело.",1
С сентября 2013 года она - посол Дании в Финляндии.,Она является Послом Финляндии в Дании с сентября 2013 года.,0
Новая железная дорога использовалась для перевозки руды из Моанды в порт Ойдо вблизи Либревиля.,Новая железная дорога использовалась для транспортировки руды из Либревиля в порт Ойдо вблизи Моанды.,0
Глава столичного МВД уволил троих руководителей районных отделов.,Глава МВД пригрозил отставкой руководству столичного ГАИ.,0
Парк San Pedro Springs Park находится в городе Сан-Антонио-де-Бексар в американском штате Техас.,Парк San Pedro Springs Park находится в городе Бексар округа Сан-Антонио в американском штате Техас.,1
Россия ратифицировала договор стран СНГ о борьбе с сахарным диабетом,Россия ратифицировала соглашение СНГ о борьбе с сахарным диабетом,1
"В 284 году до н.э. король Си встретился с королем Цинь Чжао в Западном Чжэцзяне, чтобы сформировать альянс против Ци.","Король Ци встретился с королем Цинь Чжао в западном Чжэцзяне в 284 году до н.э., чтобы сформировать альянс против Си.",0
"Нетания расположена на исторической прибрежной равнин Средиземного моря, израильский сухопутный мост между Европой, Африкой и Азией.","Нетанья расположена на средиземноморском побережье Израиля, историческим мостом между Европой, Африкой и Азией.",0
"Озеро Арроухид (Arrowhead) - искусственное озеро в реке Мохаве в Литтл-Беар-Крик (Little Bear Creek), притоке Глубокого Крика и горы Сан-Бернардино (San Bernardino Mountains).","Озеро Арроухид (Arrowhead) - искусственное озеро, расположенное в горах Сан-Бернардино на Малом Медвежьем Крике, притоке реки Дип Крик и реки Можаве.",1
Она умерла в Форт-Уорт и была похоронена в Абилене на муниципальном кладбище в Абилене.,Она умерла в Абилене и была похоронена в Форте Уорт на муниципальном кладбище в Абилене.,0
Около 6 тысяч мигрантов спасены береговой охраной Италии за два дня,На юг Италии доставили 6 тысяч спасенных в Средиземноморье мигрантов,0
В чем отличия и сходства между социал-демократией и либеральной демократией?,В чем же отличия и сходства между либеральной демократией и социал-демократией?,1
"Если я не загружаю видео YouTube и не монетизирую контент авторских прав, есть ли шансы, что Google заблокирует мой аккаунт?","Если я не монетизирую видео YouTube и не загружаю содержание авторских прав, то есть ли вероятность того, что Google может заблокировать мой аккаунт?",0
В 2008 году демократ Барак Обама проиграл республиканцу Джону Маккейну 61% -39%.,"В 2008 году Джон Маккейн, республиканец, победил демократа Барака Обаму с 61% -39%.",1
В Вильнюсе подписано соглашение об ассоциации Украины и ЕС.,Президент Украины рассказал о причинах отказа от ассоциации с ЕС.,0
"Думские партии, националисты и секс-меньшинства пройдут колоннами по центру Петербурга на Первомай",Понижение ключевой ставки ЦБ снизит ставки кредитов для девелоперов,0
Обвинение потребовало для Васильевой условного срока,СПЧ: условный срок для Васильевой - сильнейший раздражительный фактор,0
"Мне сказали, что у меня жирная кожа. Почему мое лицо выглядит суховатым после применения увлажнителя?","Мне сказали, что у меня сухая кожа. Почему лицо выглядит жирным после применения увлажнителя?",0
"Чем отличается дистиллированная вода, очищенная вода и вода RO?","Чем отличается очищенная вода, дистрализированная вода и RO вода?",1
"Отец МакНивена (он же Скотт) тоже был профессиональным футболистом, как и его брат-близнец Дэвид, который играет за тот же клуб.","Отец МакНивена (также называется Дэвид) также был профессиональным футболистом, как и его брат-близнец Скотт, который выступает за тот же клуб.",0
В чем разница между нейронными сетями глубокого восприятия и мульти-моделями?,В чем различие между мульти-перцептронными нейронными сетями и глубокими моделями?,0
"Девочки видят Redcoat и следуют за ней в сад Алисон, а она поворачивается, и мы обнаруживаем, что это Спенсер и что она не умерла.","Девочки видят Redcoat и следуют за ней в сад Спенсер, а она поворачивается, и мы обнаруживаем, что это Алисон и что она не умерла.",0
"Данная порода больше всего распространена в Эппингте, Лланафане Фавре, Абейне и Лланвертид Уэллсе, и она мало известна за пределами Уэльса.","Эта порода наиболее распространена в Eppynt, Llanwrtyd Wells, Africyn и Llaanafan Fawr и вряд ли известна за пределами Уэльса.",0
"В течение тринадцати сезонов он сыграл в 189 играх бельгийской Профессиональной лиги, в основном в составе клуба ""Брюгге"", с которым выиграл девять национальных титулов, в том числе два крупных чемпионата.","В течение тринадцати сезонов он провел в 189 бельгийских играх в профессиональной лиге, преимущественно с клубом Брюгге, с которым завоевал девять важных титулов, в том числе два национальных первенства.",1
"Фергюсон оставался в Либерии до самой смерти, в Монровии в 1916 году.","Фергюсон оставался в Либерии до своей смерти, Монровии в 1916 году, в 1916 году",1
"Что случится, если Microsoft скопирует исходный код из Linux и отправит его с Windows?","Что произойдет, если Microsoft сдвигает исходный код с Linux и копирует его с Windows?",0
Тур достиг Бангкока в Таиланде 12 июля 2008 года и 22 ноября 2008 в Шанхае.,"Тур достиг 12 июля 2008 года в Шанхае и 22 ноября 2008 в Бангкоке, Таиланд.",0
Великобритания инвестирует в экономику Кубы 400 миллионов долларов,Великобритания вложит в экономику Кубы 400 миллионов долларов,1
"Вице-губернатора Новгородской области обвинили по ""дорожному делу"".",Вице-губернатору Новгородской области предъявили обвинение.,0
"Зона обслуживает восток и центр штата Мадхья-Прадеш, юг Уттар-Прадеш и север штата Раджастан.","Зона обслуживает восточный и центральный штат Мадхья-Прадеш, южный штат Раджастан и северо-восточный штат Уттар-Прадеш.",0
В чем разница между пакистанским Пенджабом и индийским Пенджабом?,В чем разница между индийским Пенджабом и пакистанским Пенджабом?,1
В Петербурге фотограф убил подругу и покончил с собой.,Петербургский фотограф убил подругу и покончил с собой.,1
Футбольная команда Стэнфордского университета 1921 года представляла Стэнфорд в студенческом футбольном сезоне 1921 года.,Футбольная команда Стэнфордского университета в 1921 представляет Стэнфорд в Колледже - Футбол - Сезон 1921.,1
"Эксперты об исключении Гудковых из ""Справедливой России"".","Геннадий и Дмитрий Гудковы исключены из ""Справедливой России"".",0
"Дамба имеет длину около 110 метров, а ее вершина - около 5 метров в ширину.","Дамба имеет в длину приблизительно 110 метров и, ее вершина, составляет приблизительно 5 метров в ширину.",1
МЧС проверит поврежденные землетрясением российские здания в Непале,МЧС РФ оказало помощь 180 пострадавшим от землетрясения в Непале,0
"В 1877 году он отправился в Коннектикут, но вскоре вернулся опять в Калифорнию и осенью 1879 года вернулся в Республику Сальвадор как государственный геолог.","В 1877 году он вернулся в Коннектикут, однако вскоре вернулся обратно в Калифорнию, а осенью 1879 года отправился в Республику Сальвадор в качестве геолога штата.",1
"Какие книги нужно изучать, чтобы подготовиться к школьному экзамену по физике?","Какие книги нужно изучать, чтобы подготовиться к экзаменам по физике в школе?",1
"Землетрясение магнитудой 5,5 произошло у побережья Панамы","У берегов Панамы произошло землетрясение магнитудой 5,5 ",1
РЖД приостановило продажу билетов на Украину.,РЖД приостановили продажу билетов на Украину.,1
"В 1791 году Гамильтон возвращался в Дублин, где скончался. В 1796 году он разрисовал лорда Эдварда Фитцджеральда - ирландского монарха.","В 1791 году Эдвард Фитцджеральд вернулся в Дублин, где и умер, а в 1796 году он нарисовал ирландского лорда Гамильтона.",0
"Город расположен к северу от Газы - город и Средиземное море, к западу от Аммана, Иордании, юго-востоку от Тель-Авива, Израиля и к югу от Иерусалима.","Город находится к югу от Газы - город и Средиземное море, северо-запад от Аммана, Иордания, юго-восток от Тель-Авива, Израиль и запад от Иерусалима.",0
Муранга (или Муранга) - город в округе Муранга Кении.,Муранга (или Муранга) - город в кенийском графстве Муранга.,1
"Затем он преподавал в школе в Тедо, штат Огайо, и был исполняющим обязанности директора школ в Кливленде с 1856 по 1859 год.","Затем он преподавал в школе в Тедо, штат Огайо, и был заместителем директора школ в Кливленде с 1856 по 1859 год.",1
Amen - это третий сингл со второго студийного альбома Halestorm Into the Wild Life.,Amen - это третий сингл на втором студийном альбоме Halestorm Into the Wild Life.,1
Один из двух самолетов МЧС России со спасателями вылетел в Непал,Два самолета МЧС России направились в Непал,0
"Фонд кино отказался поддержать фильмы ""Чайковский"" и ""Дама Пик"".",Фонд кино поддержит фильм Миндадзе и еще 27 картин.,0
При взрывах на полигоне под Самарой погиб один человек.,На полигоне под Самарой возобновились взрывы.,0
Она была опубликована в Соединенных Штатах 31 августа 2004 года и в Великобритании 17 октября 2005 года.,Она была опубликована в Великобритании 31 августа 2004 года и в Соединенных Штатах 17 октября 2005 года.,0
"Самая высокая температура была зарегистрирована 28 апреля 1981 г., а самая низкая - 19 декабря 1981 г.","Наивысшая рекордная температура была 28 апреля 1981 года, в то время как низшая рекордная температура - 19 декабря 1981 года.",1
Каков самый душераздирающий сюжет между палестинским и израильским народом?,Какова самая душераздирающая история между израильским и палестинским народом?,1
"Альбом Misc Music - диск группы Shifty Truth, выпущенный на диско-лейбле Unfavable в 2001 году.","Музыка - это альбом Unstairwable Truth, выпущенный в 2001 году на лейбле Shifty Disco.",0
Каштаны в Киеве зацвели не тем цветом.,ВТБ избавится от акций Росбанка.,0
"ЕС продлил санкции против Сирии, но разрешил поставки оружия повстанцам.",Страны ЕС сняли эмбарго на поставку оружия сирийским повстанцам.,0
Письмо Путина: РФ внесла свой вклад во всеобщее и полное разоружение,Путин рассказал о вкладе России во всеобщее разоружение,1
"Ъ: президент ""Транснефти"" Токарев будет возглавлять компанию еще 5 лет",Николай Токарев останется главой «Транснефти» еще пять лет,1
"Самки речного кролика весят примерно 1,5 килограмма, в то время как самцы весят около 1,8 килограмма.","Самцы речного кролика весят около 1,5 килограмма, в то время как самки весят около 1,8 килограмма.",0
"Джахар родился 23 августа 1923 года в деревне Панчайи Фазилковского района Пенджаба, сейчас в селе Аббар.","Джахар родился в селе Панчи Фазилковского района Пенджаба, ныне Абакар, 23 августа 1923 года.",0
"Illinois 9 (IL 9) - автомагистраль между сельскими районами штата с востока на запад, расположенная в центральной части американского штата Иллинойс.",Illinois 9 (IL 9) - межштатная автомагистраль с востока на запад центрального штата в сельской части американского штата Иллинойс.,0
"Среди его учеников были Уильям Генри Ваддингтон и его племянник, французский министр Ив Норткоут.","Среди его учеников были Норткот и его племянник, французский министр Уильям Генри Уоддингтон (William Henry Waddington).",0
